Species Family,Species,ID,Date,Time,User,City,District,Place,Altitude,Latitude,Longitude,Description,weather
˸,y˸,66403,11:22:00,2020-07-14,Fenabi,򶩥,wְ,H,157,25.158288418497904,121.70478880405426,
˸,y˸,7434,09:00:00,2013-06-22,wen3020,򶩥,C,ѨϮc,144,25.090787581125912,121.67445302009583,
˸,y˸,11138,10:00:00,2013-06-22,twingo49,򶩥,C,ѨϮc,43,25.087343057919217,121.67670607566833,
˸,y˸,357,09:00:00,2013-06-19,skink,饫,_,Fsa˪LCְ,891,24.831142982954564,121.40853881835937,
˸,y˸,1152,10:00:00,2012-05-23,neo,y,sm,ɤsLDܯ,590,24.758328176422,121.61367416381836,
˸,y˸,902,14:00:00,2012-05-04,skink,x_,_,ѫ,553,25.162415550940153,121.53925895690918,
˸,y˸,2758,08:04:00,2011-06-10,W,饫,j˰,ú֨,231,24.90974554155092,121.32230758623336,
˸,y˸,2648,06:50:00,2011-04-19,W,饫,j˰,ú֨,231,24.90974554155092,121.32230758623336,
˸,y˸,2372,11:00:00,2010-08-03,skink,x_,s,O_߰ʪ,99,24.991017533788497,121.5888261795044,
˸,y˸,2199,14:00:00,2010-06-10,W,饫,j˰,ú֨,231,24.90974554155092,121.32230758623336,
˸,y˸,2721,11:00:00,2010-05-31,skink,x_,s,O_߰ʪ,58,24.995198928172233,121.58775329589844,
˸,y˸,2098,10:28:00,2010-04-27,W,饫,j˰,ú֨,231,24.90974554155092,121.32230758623336,
˸,y˸,2087,07:21:00,2010-04-17,W,饫,j˰,ú֨,231,24.90974554155092,121.32230758623336,
˸,y˸,2071,08:17:00,2010-04-10,W,饫,j˰,ú֨,231,24.90974554155092,121.32230758623336,
˸,y˸,3020,11:00:00,2009-06-06,skink,x_,s,O_߰ʪ,98,24.991075879804985,121.58883690834045,
˸,y˸,5022,10:49:00,2009-06-06,skink,x_,s,O_߰ʪͺA,112,24.99006940713893,121.58867195248604,
˸,y˸,4047,09:40:00,2008-06-11,tang,s_,۪,SͺAA,160,25.26418037123179,121.58359050750732,
˸,y˸,3981,18:00:00,2008-05-20,skink,򶩥,C,ѨϮc,144,25.090787581125912,121.67445302009583,
˸,y˸,5367,14:02:00,2004-07-10,mhtsou,s_,,p,521,24.953310494302098,121.63643538951874,
